Date,Open,High,Low,Close
1990-03-31,1.506,1.528,1.4976,1.4976
1990-04-30,1.5074,1.5074,1.4504,1.4504
1990-05-31,1.4556,1.4556,1.3953,1.4331
1990-06-30,1.436,1.4478,1.4059,1.4155
1990-07-31,1.404,1.4165,1.3477,1.3477
1990-08-31,1.3555,1.3565,1.2605,1.3085
1990-09-30,1.3174,1.3305,1.2826,1.2994
1990-10-31,1.2895,1.2921,1.27,1.287
1990-11-30,1.2763,1.277,1.244,1.2765
1990-12-31,1.292,1.316,1.2621,1.277
1991-01-31,1.2619,1.291,1.2495,1.257
1991-02-28,1.2514,1.3255,1.2345,1.3255
1991-03-31,1.3316,1.4554,1.3316,1.445
1991-04-30,1.438,1.4839,1.401,1.4479
1991-05-31,1.4445,1.4805,1.43,1.4805
1991-06-30,1.4886,1.562,1.4845,1.558
1991-07-31,1.565,1.5885,1.511,1.5254
1991-08-31,1.5349,1.5515,1.494,1.528
1991-09-30,1.5265,1.5276,1.4486,1.4486
1991-10-31,1.4526,1.4976,1.4526,1.4649
1991-11-30,1.4605,1.4605,1.401,1.4355
1991-12-31,1.423,1.4285,1.3446,1.3605
1992-01-31,1.3644,1.4425,1.3485,1.428
1992-02-29,1.423,1.4984,1.3896,1.4841
1992-03-31,1.4875,1.5246,1.4875,1.5014
1992-04-30,1.5076,1.548,1.4891,1.5171
1992-05-31,1.5004,1.5284,1.4574,1.4574
1992-06-30,1.4609,1.4705,1.367,1.374
1992-07-31,1.3664,1.374,1.3035,1.3186
1992-08-31,1.3197,1.3306,1.2419,1.246
1992-09-30,1.2395,1.319,1.2324,1.2355
1992-10-31,1.2435,1.377,1.2261,1.377
1992-11-30,1.4009,1.455,1.3939,1.437
1992-12-31,1.4156,1.4656,1.3915,1.4656
1993-01-31,1.4795,1.4985,1.443,1.486
1993-02-28,1.5175,1.5414,1.4834,1.524
1993-03-31,1.5269,1.5459,1.491,1.491
1993-04-30,1.4819,1.4911,1.4165,1.4346
1993-05-31,1.4325,1.479,1.415,1.4195
1993-06-30,1.4245,1.5194,1.4235,1.5105
1993-07-31,1.5066,1.5304,1.4979,1.5225
1993-08-31,1.5026,1.5284,1.4686,1.4806
1993-09-30,1.4609,1.4609,1.3893,1.427
1993-10-31,1.4244,1.491,1.4001,1.481
1993-11-30,1.501,1.5066,1.4844,1.5011
